2025-04-06 14:38:37
完全命中JLPT日檢文法：考場上會遇到的文法，90%以上都在這裡！,李桂芳,354元,語言學習,https://www.books.com.tw/products/0010964707/39
持續買進：資料科學家的投資終極解答，存錢及致富的實證方法,尼克．馬朱利,316元,商業理財,https://www.books.com.tw/products/0010957881/40
致富心態：關於財富、貪婪與幸福的20堂理財課（暢銷增訂版）,摩根‧豪瑟,355元,商業理財,https://www.books.com.tw/products/0010947224/41
養心2：泥魔妖的誘惑（首批附贈作者印簽金句扉頁及五悔角色卡）,陳郁如,331元,童書/青少年文學,https://www.books.com.tw/products/0011016959/42
抄好學Email書信大全：邊抄邊學150封商業Email範文！(附抄好用Email範文電子檔),"陳筱玲,沈志安",315元,語言學習,https://www.books.com.tw/products/0011017994/43
中道：未來的靈性道路,楊定一,395元,宗教命理,https://www.books.com.tw/products/0011015333/44
第四翼【戰龍系列1】,瑞貝卡・亞羅斯,592元,限制級商品（需登入）,https://www.books.com.tw/products/0011016503/45
我的第一本英語學習書：全亞洲巨星都是這樣學英文(附AI口說、聽力速學系統+字母手寫練習表下載+「Youtor App」內含VRP虛擬點讀筆),外國語研究發展中心,315元,語言學習,https://www.books.com.tw/products/0011016135/46
人生得意在長安：18位詩人、21首詩歌，走進大唐帝國的絢爛世界,辛曉娟,442元,文學小說,https://www.books.com.tw/products/0011014553/47
連日本人都驚呆的日文單字心智地圖【全新增修版】(附17組拉頁+專家講解心智圖教學課程+線上測驗100道單字填空題+「Youtor App」內含VRP虛擬點讀筆),前田美紀,315元,語言學習,https://www.books.com.tw/products/0011013348/48
被誤解的成語：一考就錯的成語！這次，徹底弄懂！,開心文化團隊,379元,童書/青少年文學,https://www.books.com.tw/products/0011012890/49
我在億萬豪宅當保母：一個底層女孩在頂層社會的窺奇與學習,史蒂芬妮‧基瑟,308元,人文社科,https://www.books.com.tw/products/0011011681/50
2025-04-06 14:48:25
書名,作者,價格,分類,連結
日本超人氣怪談和尚的京都怪奇談三部曲套書,三木大雲,759元,宗教命理,https://www.books.com.tw/products/0010981054/1
納瓦爾寶典珍藏版：從白手起家到財務自由，矽谷傳奇創投家的投資哲學與人生智慧,艾瑞克．喬根森,355元,商業理財,https://www.books.com.tw/products/0011012422/2
溝通力不是天賦，而是技術：田村淳教你大受歡迎的說話祕訣,田村淳,252元,商業理財,https://www.books.com.tw/products/0011014573/3
想見妮‧Nicole妮可寫真書★限量盒裝版【博客來獨家】,妮可Nicole,優惠價：1200元,影視偶像,https://www.books.com.tw/products/0011017403/4
世界上最透明的故事（日本出版界話題作，只有紙本書可以體驗的感動）,杉井光,284元,文學小說,https://www.books.com.tw/products/0011001466/5
日文自學ALL IN ONE全攻略【初級】(附100分鐘老師真人教學文法影片+100分鐘單字學習影片+50音筆順練習表+「Youtor App」內含VRP虛擬點讀筆),金子祐己Yumi,354元,語言學習,https://www.books.com.tw/products/0010991568/6
如是我聞：金剛經筆記【加贈蔣勳祈福讀誦《金剛經》+繪寫書籤2款】,蔣勳,276元,宗教命理,https://www.books.com.tw/products/0011016963/7
世界上最神奇的24堂課：全世界唯一一本，因為揭露「致富秘訣」而被查禁的書！,查爾斯‧哈奈爾,237元,商業理財,https://www.books.com.tw/products/0010959973/8
當我們需要安慰：法國精神科醫師寫給這個世代的愛之語,克里斯多夫．安德烈,379元,心理勵志,https://www.books.com.tw/products/0011017506/9
納瓦爾寶典：從白手起家到財務自由， 矽谷傳奇創投家的投資哲學與人生智慧,艾瑞克．喬根森,355元,商業理財,https://www.books.com.tw/products/0010977461/10
如果歷史是一群喵(15)：大清風雲篇【萌貓漫畫學歷史】,肥志,387元,人文社科,https://www.books.com.tw/products/0011017641/11
戰爭下的平民生存手冊：懂這些，才能撐過黃金48小時【關鍵時刻救你，也救家人】(附緊急避難檢查卡),邱世卿,355元,人文社科,https://www.books.com.tw/products/0010954819/12
祕密派對,勵馨基金會,535元,童書/青少年文學,https://www.books.com.tw/products/0010879205/13
蛤蟆先生去看心理師（暢銷300萬冊！英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組）,羅伯．狄保德,316元,心理勵志,https://www.books.com.tw/products/0010914794/14
全新制怪物講師教學團隊的TOEIC多益5回全真模擬試題+解析【修訂版】（2書＋1CD＋文法教學影片＋「Youtor App」內含VRP虛擬點讀筆＋防水書套）,"林政翰,怪物講師教學團隊（台灣）",473元,語言學習,https://www.books.com.tw/products/0010903540/15
從低谷突破：40年精神科權威史塔茲的療癒之道,菲爾．史塔茲,355元,心理勵志,https://www.books.com.tw/products/0011016348/16
第四翼【戰龍系列1】,瑞貝卡・亞羅斯,592元,限制級商品（需登入）,https://www.books.com.tw/products/0011016503/17
日語字母書寫練習,巫沅達,70元,語言學習,https://www.books.com.tw/products/0010837257/18
國考申論式空白作答紙(6份),三民輔考製作團隊,35元,考試用書,https://www.books.com.tw/products/0010674246/19
底層邏輯：看清這個世界的底牌,劉潤,316元,商業理財,https://www.books.com.tw/products/0010919211/20
今天不當媽媽！【博客來獨家＊附贈限量媽媽換裝紙娃娃】,貓魚,355元,童書/青少年文學,https://www.books.com.tw/products/0011017478/21
權證小哥短線終極戰法：4大策略 ✖ 6種工具 ✖ 68個實戰案例，手把手教你賺,權證小哥,379元,商業理財,https://www.books.com.tw/products/0011014572/22
我親愛的甜橙樹【暢銷千萬冊‧最溫柔的人生書】,約瑟．毛碌．吉．瓦斯康賽魯斯,331元,文學小說,https://www.books.com.tw/products/0011014584/23
養心2：泥魔妖的誘惑（首批附贈作者印簽金句扉頁及五悔角色卡）,陳郁如,331元,童書/青少年文學,https://www.books.com.tw/products/0011016959/24
活著(經典新藏版),余華,315元,文學小說,https://www.books.com.tw/products/0011014501/25
致富心態：關於財富、貪婪與幸福的20堂理財課（暢銷增訂版）,摩根‧豪瑟,355元,商業理財,https://www.books.com.tw/products/0010947224/26
城南舊事,林海音,140元,文學小說,https://www.books.com.tw/products/0010098675/27
黃帝內經╳量子糾纏：情志相勝、運氣調頻、分子營養與量子信息醫學實證,張淵豪,245元,醫療保健,https://www.books.com.tw/products/0010922101/28
百年孤寂：首度正式授權繁體中文版！出版50週年紀念全新譯本【平裝典藏版】,加布列‧賈西亞‧馬奎斯,355元,文學小說,https://www.books.com.tw/products/0010778418/29
媽媽，為什麼要快一點？（時間觀念＋親子關係＋共讀繪本）,中川宏貴,300元,童書/青少年文學,https://www.books.com.tw/products/0011009562/30
別對每件事都有反應2：不執著的練習,枡野俊明,260元,心理勵志,https://www.books.com.tw/products/0011011868/31
你的人生，他們六個說了算！：決定你一生的六種物質,大衛．JP．菲利浦斯,284元,心理勵志,https://www.books.com.tw/products/0011009311/32
中年之路：穿越幽暗，迎向完整的內在鍊金之旅,詹姆斯．霍利斯,379元,心理勵志,https://www.books.com.tw/products/0010990110/33
"英文自學ALL IN ONE全攻略【初級】(附文法教學影片+「Youtor App」內含VRP虛擬點讀筆+2,000單字電子書+字母筆順練習表)",外國語研究發展中心,315元,語言學習,https://www.books.com.tw/products/0010964718/34
持續買進：資料科學家的投資終極解答，存錢及致富的實證方法,尼克．馬朱利,316元,商業理財,https://www.books.com.tw/products/0010957881/35
FOOD超人益智遊戲貼紙書：數字123,（出版社：風車）,69元,童書/青少年文學,https://www.books.com.tw/products/0010947056/36
FOOD超人益智遊戲貼紙書：可愛娃娃屋,（出版社：風車）,69元,童書/青少年文學,https://www.books.com.tw/products/0010947052/37
FOOD超人益智遊戲貼紙書：公主變裝秀,（出版社：風車）,69元,童書/青少年文學,https://www.books.com.tw/products/0010947050/38
超級市場：FOOD超人益智遊戲貼紙書,風車編輯群,69元,童書/青少年文學,https://www.books.com.tw/products/0010855237/39
恐龍世界：FOOD超人益智遊戲貼紙書,風車編輯群,69元,童書/青少年文學,https://www.books.com.tw/products/0010855235/40
交通工具：FOOD超人益智遊戲貼紙書,風車編輯群,69元,童書/青少年文學,https://www.books.com.tw/products/0010855233/41
動物王國：FOOD超人益智遊戲貼紙書,風車編輯群,69元,童書/青少年文學,https://www.books.com.tw/products/0010855229/42
新編兒童學成語(全套三冊),"陳秀玟,熊仙如",297元,童書/青少年文學,https://www.books.com.tw/products/0010764749/43
中道：未來的靈性道路,楊定一,395元,宗教命理,https://www.books.com.tw/products/0011015333/44
翻轉你的期貨交易：何毅里長伯突破瓶頸的五個黄金法則,何毅里長伯,394元,商業理財,https://www.books.com.tw/products/0011016500/45
人生就是一次次的得到與放下,黃大米,292元,心理勵志,https://www.books.com.tw/products/0011015062/46
我可能錯了：森林智者的最後一堂人生課,"比約恩．納提科．林德布勞,卡洛琳．班克勒,納維德．莫迪里",355元,心理勵志,https://www.books.com.tw/products/0010947051/47
連日本人都驚呆的日文單字心智地圖【全新增修版】(附17組拉頁+專家講解心智圖教學課程+線上測驗100道單字填空題+「Youtor App」內含VRP虛擬點讀筆),前田美紀,315元,語言學習,https://www.books.com.tw/products/0011013348/48
我在億萬豪宅當保母：一個底層女孩在頂層社會的窺奇與學習,史蒂芬妮‧基瑟,308元,人文社科,https://www.books.com.tw/products/0011011681/49
書店裡的小花（贈-作繪者簽繪書籤）,劉清彥,276元,童書/青少年文學,https://www.books.com.tw/products/0011016496/50
2025-04-06 15:17:48
書名,作者,價格,分類,連結
納瓦爾寶典珍藏版：從白手起家到財務自由，矽谷傳奇創投家的投資哲學與人生智慧,艾瑞克．喬根森,355元,商業理財,https://www.books.com.tw/products/0011012422/1
日本超人氣怪談和尚的京都怪奇談三部曲套書,三木大雲,759元,宗教命理,https://www.books.com.tw/products/0010981054/2
溝通力不是天賦，而是技術：田村淳教你大受歡迎的說話祕訣,田村淳,252元,商業理財,https://www.books.com.tw/products/0011014573/3
想見妮‧Nicole妮可寫真書★限量盒裝版【博客來獨家】,妮可Nicole,優惠價：1200元,影視偶像,https://www.books.com.tw/products/0011017403/4
從低谷突破：40年精神科權威史塔茲的療癒之道,菲爾．史塔茲,355元,心理勵志,https://www.books.com.tw/products/0011016348/5
戰爭下的平民生存手冊：懂這些，才能撐過黃金48小時【關鍵時刻救你，也救家人】(附緊急避難檢查卡),邱世卿,355元,人文社科,https://www.books.com.tw/products/0010954819/6
世界上最透明的故事（日本出版界話題作，只有紙本書可以體驗的感動）,杉井光,284元,文學小說,https://www.books.com.tw/products/0011001466/7
日文自學ALL IN ONE全攻略【初級】(附100分鐘老師真人教學文法影片+100分鐘單字學習影片+50音筆順練習表+「Youtor App」內含VRP虛擬點讀筆),金子祐己Yumi,354元,語言學習,https://www.books.com.tw/products/0010991568/8
納瓦爾寶典：從白手起家到財務自由， 矽谷傳奇創投家的投資哲學與人生智慧,艾瑞克．喬根森,355元,商業理財,https://www.books.com.tw/products/0010977461/9
如果歷史是一群喵(15)：大清風雲篇【萌貓漫畫學歷史】,肥志,387元,人文社科,https://www.books.com.tw/products/0011017641/10
如是我聞：金剛經筆記【加贈蔣勳祈福讀誦《金剛經》+繪寫書籤2款】,蔣勳,276元,宗教命理,https://www.books.com.tw/products/0011016963/11
世界上最神奇的24堂課：全世界唯一一本，因為揭露「致富秘訣」而被查禁的書！,查爾斯‧哈奈爾,237元,商業理財,https://www.books.com.tw/products/0010959973/12
當我們需要安慰：法國精神科醫師寫給這個世代的愛之語,克里斯多夫．安德烈,379元,心理勵志,https://www.books.com.tw/products/0011017506/13
祕密派對,勵馨基金會,535元,童書/青少年文學,https://www.books.com.tw/products/0010879205/14
全新制怪物講師教學團隊的TOEIC多益5回全真模擬試題+解析【修訂版】（2書＋1CD＋文法教學影片＋「Youtor App」內含VRP虛擬點讀筆＋防水書套）,"林政翰,怪物講師教學團隊（台灣）",473元,語言學習,https://www.books.com.tw/products/0010903540/15
蛤蟆先生去看心理師（暢銷300萬冊！英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組）,羅伯．狄保德,316元,心理勵志,https://www.books.com.tw/products/0010914794/16
養心2：泥魔妖的誘惑（首批附贈作者印簽金句扉頁及五悔角色卡）,陳郁如,331元,童書/青少年文學,https://www.books.com.tw/products/0011016959/17
第四翼【戰龍系列1】,瑞貝卡・亞羅斯,592元,限制級商品（需登入）,https://www.books.com.tw/products/0011016503/18
日語字母書寫練習,巫沅達,70元,語言學習,https://www.books.com.tw/products/0010837257/19
國考申論式空白作答紙(6份),三民輔考製作團隊,35元,考試用書,https://www.books.com.tw/products/0010674246/20
底層邏輯：看清這個世界的底牌,劉潤,316元,商業理財,https://www.books.com.tw/products/0010919211/21
今天不當媽媽！【博客來獨家＊附贈限量媽媽換裝紙娃娃】,貓魚,355元,童書/青少年文學,https://www.books.com.tw/products/0011017478/22
日文平假名‧片假名練習簿,大新出版社編輯部,31元,語言學習,https://www.books.com.tw/products/0010142884/23
權證小哥短線終極戰法：4大策略 ✖ 6種工具 ✖ 68個實戰案例，手把手教你賺,權證小哥,379元,商業理財,https://www.books.com.tw/products/0011014572/24
