﻿時間,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20
2025-04-11 11:03:33,語言學習(16),商業理財(7),文學小說(5),心理勵志(4),人文社科(3),飲食(3),考試用書(2),童書/青少年文學(2),生活風格(2),醫療保健(1),宗教命理(1),親子教養(1),藝術設計(1),專業/教科書/政府出版品(1),自然科普(1),,,,,
2025-04-11 11:40:09,語言學習(15),商業理財(9),文學小說(5),心理勵志(4),人文社科(3),醫療保健(3),宗教命理(2),生活風格(2),童書/青少年文學(2),考試用書(1),飲食(1),親子教養(1),專業/教科書/政府出版品(1),藝術設計(1),,,,,,
2025-04-11 12:22:50,語言學習(11),商業理財(9),人文社科(5),心理勵志(5),文學小說(5),醫療保健(3),生活風格(2),專業/教科書/政府出版品(2),宗教命理(2),考試用書(1),未知分類(1),飲食(1),親子教養(1),藝術設計(1),童書/青少年文學(1),,,,,
2025-04-11 13:20:40,商業理財(10),語言學習(8),文學小說(6),心理勵志(6),人文社科(5),醫療保健(3),生活風格(2),童書/青少年文學(2),宗教命理(2),考試用書(1),未知分類(1),飲食(1),親子教養(1),藝術設計(1),專業/教科書/政府出版品(1),,,,,
2025-04-11 14:25:50,商業理財(10),語言學習(8),心理勵志(6),人文社科(5),文學小說(5),醫療保健(4),生活風格(3),宗教命理(2),考試用書(1),未知分類(1),飲食(1),親子教養(1),藝術設計(1),電腦資訊(1),童書/青少年文學(1),,,,,
2025-04-11 15:19:21,商業理財(11),心理勵志(8),語言學習(7),文學小說(7),人文社科(4),生活風格(3),醫療保健(3),考試用書(1),宗教命理(1),親子教養(1),未知分類(1),飲食(1),藝術設計(1),童書/青少年文學(1),,,,,,
2025-04-11 16:24:28,商業理財(11),語言學習(8),心理勵志(7),文學小說(7),人文社科(4),生活風格(3),醫療保健(3),考試用書(1),宗教命理(1),親子教養(1),未知分類(1),藝術設計(1),飲食(1),童書/青少年文學(1),,,,,,
2025-04-11 17:20:42,商業理財(11),文學小說(9),語言學習(8),心理勵志(7),生活風格(3),醫療保健(3),人文社科(3),宗教命理(1),考試用書(1),親子教養(1),童書/青少年文學(1),藝術設計(1),飲食(1),,,,,,,
2025-04-11 18:20:11,商業理財(11),文學小說(9),心理勵志(7),語言學習(6),人文社科(5),醫療保健(3),生活風格(2),宗教命理(2),童書/青少年文學(2),考試用書(1),親子教養(1),藝術設計(1),,,,,,,,
2025-04-11 19:16:57,商業理財(12),文學小說(9),心理勵志(8),語言學習(6),人文社科(4),醫療保健(3),生活風格(2),童書/青少年文學(2),宗教命理(2),考試用書(1),親子教養(1),,,,,,,,,
2025-04-11 20:34:16,商業理財(13),文學小說(8),心理勵志(8),語言學習(6),人文社科(4),醫療保健(3),生活風格(2),宗教命理(2),考試用書(1),親子教養(1),童書/青少年文學(1),飲食(1),,,,,,,,
2025-04-11 21:28:36,商業理財(13),文學小說(8),心理勵志(7),語言學習(6),人文社科(4),醫療保健(3),生活風格(2),宗教命理(2),童書/青少年文學(2),考試用書(1),親子教養(1),飲食(1),,,,,,,,
2025-04-11 22:19:15,商業理財(14),文學小說(8),心理勵志(7),語言學習(5),人文社科(4),醫療保健(3),生活風格(2),宗教命理(2),童書/青少年文學(2),考試用書(1),親子教養(1),飲食(1),,,,,,,,
